[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[02:37:03.690] epoch 74/300  loss: 0.0386  loss_ce: 0.0103  lr: 0.007750  elapsed: 2.84h
[02:39:22.198] epoch 75/300  loss: 0.0401  loss_ce: 0.0102  lr: 0.007719  elapsed: 2.88h
[03:02:16.072] epoch 75 val_dice: 0.7747  best: 0.7793
[03:04:33.721] epoch 76/300  loss: 0.0407  loss_ce: 0.0101  lr: 0.007688  elapsed: 2.92h
[03:06:52.201] epoch 77/300  loss: 0.0392  loss_ce: 0.0101  lr: 0.007657  elapsed: 2.95h
[03:09:09.951] epoch 78/300  loss: 0.0375  loss_ce: 0.0101  lr: 0.007627  elapsed: 2.99h
[03:11:28.025] epoch 79/300  loss: 0.0372  loss_ce: 0.0100  lr: 0.007596  elapsed: 3.03h
[03:13:45.979] epoch 80/300  loss: 0.0397  loss_ce: 0.0101  lr: 0.007565  elapsed: 3.07h
[03:16:04.986] epoch 81/300  loss: 0.0394  loss_ce: 0.0098  lr: 0.007534  elapsed: 3.11h
[03:18:23.589] epoch 82/300  loss: 0.0350  loss_ce: 0.0099  lr: 0.007503  elapsed: 3.15h
[03:20:41.926] epoch 83/300  loss: 0.0396  loss_ce: 0.0096  lr: 0.007472  elapsed: 3.18h
[03:23:00.171] epoch 84/300  loss: 0.0400  loss_ce: 0.0097  lr: 0.007441  elapsed: 3.22h
[03:25:18.045] epoch 85/300  loss: 0.0361  loss_ce: 0.0098  lr: 0.007410  elapsed: 3.26h
[03:27:36.508] epoch 86/300  loss: 0.0369  loss_ce: 0.0101  lr: 0.007379  elapsed: 3.30h
[03:29:54.324] epoch 87/300  loss: 0.0370  loss_ce: 0.0101  lr: 0.007348  elapsed: 3.34h
[03:32:12.484] epoch 88/300  loss: 0.0384  loss_ce: 0.0099  lr: 0.007317  elapsed: 3.38h
[03:34:30.563] epoch 89/300  loss: 0.0346  loss_ce: 0.0101  lr: 0.007286  elapsed: 3.41h
[03:36:49.013] epoch 90/300  loss: 0.0365  loss_ce: 0.0100  lr: 0.007255  elapsed: 3.45h
[03:59:42.139] epoch 90 val_dice: 0.7703  best: 0.7793
[04:01:59.693] epoch 91/300  loss: 0.0332  loss_ce: 0.0094  lr: 0.007223  elapsed: 3.49h
[04:04:17.806] epoch 92/300  loss: 0.0387  loss_ce: 0.0095  lr: 0.007192  elapsed: 3.53h
[04:06:36.163] epoch 93/300  loss: 0.0398  loss_ce: 0.0098  lr: 0.007161  elapsed: 3.57h
[04:08:54.307] epoch 94/300  loss: 0.0393  loss_ce: 0.0096  lr: 0.007130  elapsed: 3.61h
[04:11:12.389] epoch 95/300  loss: 0.0331  loss_ce: 0.0092  lr: 0.007099  elapsed: 3.65h
[04:13:30.274] epoch 96/300  loss: 0.0323  loss_ce: 0.0093  lr: 0.007068  elapsed: 3.68h
[04:15:48.697] epoch 97/300  loss: 0.0322  loss_ce: 0.0092  lr: 0.007037  elapsed: 3.72h
[04:18:06.590] epoch 98/300  loss: 0.0356  loss_ce: 0.0094  lr: 0.007005  elapsed: 3.76h
[04:20:24.530] epoch 99/300  loss: 0.0383  loss_ce: 0.0091  lr: 0.006974  elapsed: 3.80h
[04:22:43.054] epoch 100/300  loss: 0.0361  loss_ce: 0.0091  lr: 0.006943  elapsed: 3.84h
[04:25:00.996] epoch 101/300  loss: 0.0327  loss_ce: 0.0091  lr: 0.006912  elapsed: 3.88h
[04:27:19.251] epoch 102/300  loss: 0.0327  loss_ce: 0.0092  lr: 0.006880  elapsed: 3.91h
[04:29:37.603] epoch 103/300  loss: 0.0315  loss_ce: 0.0088  lr: 0.006849  elapsed: 3.95h
[04:31:56.102] epoch 104/300  loss: 0.0338  loss_ce: 0.0091  lr: 0.006818  elapsed: 3.99h
[04:34:14.805] epoch 105/300  loss: 0.0319  loss_ce: 0.0095  lr: 0.006786  elapsed: 4.03h
[04:57:13.044] epoch 105 val_dice: 0.7671  best: 0.7793
[04:59:30.719] epoch 106/300  loss: 0.0324  loss_ce: 0.0088  lr: 0.006755  elapsed: 4.07h
[05:01:48.631] epoch 107/300  loss: 0.0326  loss_ce: 0.0090  lr: 0.006724  elapsed: 4.11h
[05:04:06.772] epoch 108/300  loss: 0.0344  loss_ce: 0.0088  lr: 0.006692  elapsed: 4.14h
[05:06:25.017] epoch 109/300  loss: 0.0340  loss_ce: 0.0094  lr: 0.006661  elapsed: 4.18h
[05:08:43.318] epoch 110/300  loss: 0.0313  loss_ce: 0.0087  lr: 0.006630  elapsed: 4.22h
[05:11:01.388] epoch 111/300  loss: 0.0315  loss_ce: 0.0085  lr: 0.006598  elapsed: 4.26h
[05:13:19.279] epoch 112/300  loss: 0.0358  loss_ce: 0.0089  lr: 0.006567  elapsed: 4.30h
[05:15:37.530] epoch 113/300  loss: 0.0347  loss_ce: 0.0088  lr: 0.006535  elapsed: 4.34h
[05:17:54.833] epoch 114/300  loss: 0.0325  loss_ce: 0.0087  lr: 0.006504  elapsed: 4.37h
[05:20:13.290] epoch 115/300  loss: 0.0336  loss_ce: 0.0084  lr: 0.006472  elapsed: 4.41h
[05:22:31.388] epoch 116/300  loss: 0.0298  loss_ce: 0.0085  lr: 0.006441  elapsed: 4.45h
[05:24:49.474] epoch 117/300  loss: 0.0323  loss_ce: 0.0084  lr: 0.006409  elapsed: 4.49h
[05:27:06.850] epoch 118/300  loss: 0.0321  loss_ce: 0.0086  lr: 0.006378  elapsed: 4.53h
[05:29:25.002] epoch 119/300  loss: 0.0350  loss_ce: 0.0085  lr: 0.006346  elapsed: 4.57h
[05:31:43.245] epoch 120/300  loss: 0.0302  loss_ce: 0.0086  lr: 0.006315  elapsed: 4.60h
[05:54:35.885] epoch 120 val_dice: 0.7750  best: 0.7793
[05:56:53.737] epoch 121/300  loss: 0.0334  loss_ce: 0.0084  lr: 0.006283  elapsed: 4.64h
[05:59:11.930] epoch 122/300  loss: 0.0346  loss_ce: 0.0083  lr: 0.006252  elapsed: 4.68h
